cod ISTAT;nome;PM10 media annua  (µg/m3) MIN;PM10 media annua  (µg/m3) MED;PM10 media annua  (µg/m3) MAX;PM10 n° sup. giornalieri VL=50 µg/m3 MIN;PM10 n° sup. giornalieri VL=50 µg/m3 MED;PM10 n° sup. giornalieri VL=50 µg/m3 MAX;PM2.5 media annua (µg/m3) MIN;PM2.5 media annua (µg/m3) MED;PM2.5 media annua (µg/m3) MAX;NO2 media annua  (µg/m3) MIN;NO2 media annua  (µg/m3) MED;NO2 media annua  (µg/m3) MAX;NO2 n° sup. orari VL=200 µg/m3 MIN;NO2 n° sup. orari VL=200 µg/m3 MED;NO2 n° sup. orari VL=200 µg/m3 MAX;BENZENE media annua (µg/m3) MIN;BENZENE media annua (µg/m3) MED;BENZENE media annua (µg/m3) MAX;CO n° sup. max media 8ore VL=10 mg/m3 MIN;CO n° sup. max media 8ore VL=10 mg/m3 MED;CO n° sup. max media 8ore VL=10 mg/m3 MAX;SO2 n° sup. giornalieri VL=125 µg/m3 MIN;SO2 n° sup. giornalieri VL=125 µg/m3 MED;SO2 n° sup. giornalieri VL=125 µg/m3 MAX;O3 n° sup. max media 8ore VL=120 µg/m3 MIN;O3 n° sup. max media 8ore VL=120 µg/m3 MED;O3 n° sup. max media 8ore VL=120 µg/m3 MAX
cod ISTAT;nome;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX
12057049;Pescorocchiano;6;7;8;0;0;0;5;6;7;3;4;9;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;5;9;13
12060049;Pescosolido;3;7;15;0;0;0;3;5;11;1;4;15;0;0;0;0.1;0.2;0.3;0;0;0;0;0;0;0;11;53
12057050;Petrella Salto;7;8;11;0;0;0;6;7;8;3;5;9;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;5;10;13
12056043;Piansano;15;16;16;0;0;0;9;9;9;7;8;9;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;1;4;5
12060050;Picinisco;3;5;9;0;0;0;3;4;6;1;2;7;0;0;0;0.1;0.1;0.2;0;0;0;0;0;0;0;3;13
12060051;Pico;8;13;17;0;0;2;5;6;8;4;11;16;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;3;14;23
12060052;Piedimonte San Germano;17;19;20;11;14;19;11;12;13;23;31;38;0;0;0;0.3;0.4;0.5;0;0;0;0;0;0;5;11;17
12060053;Piglio;6;10;16;0;0;1;4;6;8;6;11;19;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;6;10;13
12060054;Pignataro Interamna;13;16;21;3;11;22;9;10;12;17;21;34;0;0;0;0.3;0.3;0.5;0;0;0;0;0;0;11;18;24
12058077;Pisoniano;7;8;9;0;0;0;5;6;7;9;13;18;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;12;24;35
12060055;Pofi;24;29;35;28;45;66;8;9;13;20;25;33;0;0;0;0.6;1.0;1.4;0;0;0;0;0;0;2;10;17
12057051;Poggio Bustone;9;13;15;1;2;2;7;9;11;3;7;13;0;0;0;0.2;0.3;0.6;0;0;0;0;0;0;3;8;10
12057052;Poggio Catino;14;15;16;0;0;0;9;10;11;13;14;14;0;0;0;0.4;0.4;0.5;0;0;0;0;0;0;12;15;16
12057053;Poggio Mirteto;14;15;16;0;0;0;9;10;11;13;14;17;0;0;0;0.4;0.4;0.5;0;0;0;0;0;0;9;14;18
12057054;Poggio Moiano;9;11;13;0;0;0;7;8;10;8;9;13;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;13;15;18
12057055;Poggio Nativo;13;14;14;0;0;0;9;10;10;11;13;13;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;16;18;19
12057056;Poggio San Lorenzo;12;13;13;0;0;0;9;10;10;11;13;13;0;0;0;0.3;0.4;0.4;0;0;0;0;0;0;13;15;16
12058078;Poli;6;10;12;0;0;0;5;7;9;6;13;21;0;0;0;0.2;0.4;0.6;0;0;0;0;0;0;13;33;40
12058079;Pomezia;11;13;14;0;0;0;9;10;11;11;16;25;0;0;0;0.5;0.8;1.5;0;0;0;0;0;0;29;64;107
12060056;Pontecorvo;9;14;18;0;2;7;5;8;12;7;16;23;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;9;17;25
12059017;Pontinia;9;11;17;0;0;0;7;8;11;10;14;19;0;0;0;0.2;0.3;0.3;0;0;0;0;0;0;2;5;10
12058080;Ponzano Romano;16;17;18;0;0;1;11;11;12;17;20;24;0;0;0;0.5;0.6;0.7;0;0;0;0;0;0;3;8;11
12057057;Posta;8;10;10;0;0;1;6;7;8;3;3;4;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;3;3;4
12060057;Posta Fibreno;10;13;15;0;0;0;8;9;11;4;5;7;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;8;21;29
12057058;Pozzaglia Sabina;8;8;9;0;0;0;6;7;7;5;7;8;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;13;15;17
12059019;Priverno;10;12;15;0;0;1;6;7;9;12;15;18;0;0;0;0.3;0.3;0.5;0;0;0;0;0;0;0;4;8
12056044;Proceno;12;13;13;0;0;0;9;10;10;4;5;6;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;6;7;9
12059020;Prossedi;10;16;22;0;2;12;5;6;8;6;15;21;0;0;0;0.2;0.6;1.0;0;0;0;0;0;0;1;5;14
12058081;Riano;12;14;16;0;0;0;10;11;13;14;21;38;0;0;0;0.5;0.6;1.2;0;0;0;0;0;0;16;31;42
12057059;Rieti;9;16;22;0;3;15;7;11;16;3;15;23;0;0;0;0.2;0.7;1.1;0;0;0;0;0;0;4;12;19
12058082;Rignano Flaminio;16;17;18;0;1;1;10;11;11;14;17;19;0;0;0;0.4;0.5;0.5;0;0;0;0;0;0;2;4;8
12058083;Riofreddo;9;9;10;0;0;0;7;7;8;10;13;18;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;18;20;25
12060058;Ripi;24;27;31;25;40;58;8;10;14;19;22;32;0;0;0;0.6;1.1;1.5;0;0;0;0;0;0;10;15;19
12057060;Rivodutri;11;13;16;1;2;2;8;9;11;4;8;14;0;0;0;0.2;0.3;0.6;0;0;0;0;0;0;6;8;13
12058084;Rocca Canterano;9;10;11;0;0;0;6;7;8;9;11;15;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;27;29;29
12060059;Rocca d'Arce;14;16;19;0;1;7;8;8;9;7;10;14;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;16;25;29
12058085;Rocca di Cave;8;12;19;0;0;2;5;7;11;7;12;19;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;16;21;29
12058086;Rocca di Papa;7;8;13;0;0;0;6;6;9;4;7;15;0;0;0;0.2;0.3;0.5;0;0;0;0;0;0;27;39;55
12059022;Rocca Massima;6;11;15;0;0;1;4;6;8;3;8;12;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;10;13;20
12058088;Rocca Priora;8;10;13;0;0;0;6;7;9;7;13;19;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;15;22;34
12058089;Rocca Santo Stefano;8;8;9;0;0;0;6;6;7;12;14;16;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;17;20;26
12057062;Rocca Sinibalda;8;11;14;0;0;1;6;8;10;5;8;13;0;0;0;0.2;0.3;0.6;0;0;0;0;0;0;11;12;13
12058087;Roccagiovine;9;9;10;0;0;0;7;7;8;9;11;14;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;28;30;31
12059021;Roccagorga;7;11;16;0;0;0;5;6;9;5;14;18;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;0;2;9
12057061;Roccantica;14;14;16;0;0;0;9;10;10;13;13;14;0;0;0;0.4;0.5;0.6;0;0;0;0;0;0;12;14;16
12060060;Roccasecca;15;18;23;0;5;18;8;9;10;10;22;36;0;0;0;0.2;0.4;0.7;0;0;0;0;0;0;13;22;29
12059023;Roccasecca dei Volsci;10;12;15;0;0;0;5;6;7;6;10;16;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;0;11;26
12058090;Roiate;6;8;9;0;0;0;5;5;6;5;7;10;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;10;13;17
12058091;Roma;11;19;30;0;4;34;9;14;20;8;28;66;0;0;7;0.4;0.9;2.1;0;0;0;0;0;0;0;31;98
12056045;Ronciglione;13;15;16;0;0;0;8;10;11;12;13;14;0;0;0;0.4;0.4;0.6;0;0;0;0;0;0;0;0;3
12058092;Roviano;10;10;10;0;0;0;7;8;8;13;15;18;0;0;0;0.3;0.4;0.4;0;0;0;0;0;0;25;26;30
12059024;Sabaudia;17;20;23;0;1;4;8;10;12;8;15;22;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;2;6;36
12058093;Sacrofano;11;12;14;0;0;0;9;10;12;11;13;21;0;0;0;0.4;0.5;0.6;0;0;0;0;0;0;21;28;34
12057063;Salisano;14;14;14;0;0;0;9;10;10;13;14;14;0;0;0;0.4;0.4;0.5;0;0;0;0;0;0;14;17;18
12058094;Sambuci;10;12;13;0;0;0;8;9;9;15;18;24;0;0;0;0.4;0.4;0.6;0;0;0;0;0;0;27;28;30
12060061;San Biagio Saracinisco;3;4;5;0;0;0;3;3;4;1;2;3;0;0;0;0.1;0.2;0.2;0;0;0;0;0;0;2;4;14
12058119;San Cesareo;10;16;21;0;0;3;7;11;14;13;32;45;0;0;2;0.4;0.8;1.3;0;0;0;0;0;0;6;22;48
12060062;San Donato Val di Comino;3;6;11;0;0;0;3;5;8;1;3;5;0;0;0;0.1;0.1;0.2;0;0;0;0;0;0;0;4;15
12059025;San Felice Circeo;16;19;22;0;0;0;7;8;9;7;10;12;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;5;16;42
12060063;San Giorgio a Liri;8;12;15;0;4;7;6;8;10;8;17;22;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;12;22;34
12060064;San Giovanni Incarico;16;18;21;0;5;12;6;7;8;11;16;20;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;10;17;24
12058095;San Gregorio da Sassola;13;16;19;0;0;0;9;10;12;16;24;30;0;0;0;0.4;0.6;0.8;0;0;0;0;0;0;17;24;31
12056047;San Lorenzo Nuovo;14;15;16;0;0;0;9;10;10;6;7;9;0;0;0;0.3;0.4;0.4;0;0;0;0;0;0;1;4;12
12058096;San Polo dei Cavalieri;8;11;17;0;0;0;6;8;11;6;12;30;0;0;0;0.3;0.3;0.7;0;0;0;0;0;0;20;26;31
12058100;San Vito Romano;9;10;12;0;0;0;6;7;8;12;15;18;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;14;19;23
12060070;San Vittore del Lazio;5;11;18;0;3;13;4;7;11;3;15;29;0;0;0;0.2;0.3;0.5;0;0;0;0;0;0;8;17;30
12058097;Santa Marinella;15;17;19;0;1;1;8;9;9;10;14;20;0;0;0;0.3;0.3;0.4;0;0;0;0;0;0;1;4;12
12060065;Sant'Ambrogio sul Garigliano;11;13;15;2;3;5;8;9;11;14;16;18;0;0;0;0.3;0.3;0.5;0;0;0;0;0;0;32;37;43
12060066;Sant'Andrea del Garigliano;7;10;11;0;0;2;6;7;8;6;12;14;0;0;0;0.2;0.3;0.3;0;0;0;0;0;0;10;33;56
12058098;Sant'Angelo Romano;12;14;18;0;0;1;9;10;14;13;21;35;0;0;0;0.4;0.6;1.0;0;0;0;0;0;0;27;36;43
12060067;Sant'Apollinare;10;13;15;0;5;8;7;9;10;11;16;18;0;0;0;0.2;0.3;0.3;0;0;0;0;0;0;17;26;35
12060068;Sant'Elia Fiumerapido;5;10;17;0;3;13;4;7;11;3;12;24;0;0;0;0.2;0.2;0.4;0;0;0;0;0;0;4;13;29
12059026;Santi Cosma e Damiano;17;19;20;3;3;7;11;12;13;18;21;23;0;0;0;0.4;0.4;0.5;0;0;0;0;0;0;7;11;17
12060069;Santopadre;13;15;16;0;0;0;8;9;10;6;7;9;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;10;20;27
12058099;Sant'Oreste;16;17;18;0;1;1;11;11;11;17;19;21;0;0;0;0.5;0.5;0.6;0;0;0;0;0;0;3;6;11
12058101;Saracinesco;10;11;13;0;0;0;8;8;9;14;16;24;0;0;0;0.4;0.4;0.6;0;0;0;0;0;0;25;29;30
12057064;Scandriglia;8;10;13;0;0;0;6;8;9;6;8;12;0;0;0;0.2;0.3;0.3;0;0;0;0;0;0;14;17;20
12058102;Segni;6;13;22;0;1;7;4;8;12;3;14;34;0;0;0;0.2;0.3;0.6;0;0;0;0;0;0;1;6;16
12057065;Selci;15;16;16;0;0;0;10;10;11;13;14;14;0;0;0;0.4;0.4;0.5;0;0;0;0;0;0;11;12;12
12059027;Sermoneta;11;16;19;0;0;2;7;9;11;12;20;24;0;0;0;0.2;0.4;1.2;0;0;0;0;0;0;2;3;4
12060071;Serrone;6;11;14;0;0;0;4;7;8;5;12;15;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;6;13;18
12060072;Settefrati;3;5;9;0;0;0;3;4;7;1;2;6;0;0;0;0.1;0.1;0.2;0;0;0;0;0;0;0;2;9
12059028;Sezze;7;13;18;0;0;3;5;8;11;7;17;22;0;0;0;0.2;0.3;0.4;0;0;0;0;0;0;1;3;8
12060073;Sgurgola;17;18;19;1;4;7;9;11;11;21;25;28;0;0;0;0.5;0.6;0.7;0;0;0;0;0;0;4;5;8
12059029;Sonnino;7;10;14;0;0;0;5;6;9;4;8;12;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;5;12;21
12060074;Sora;3;11;21;0;0;13;3;8;16;1;10;25;0;0;0;0.1;0.2;0.3;0;0;0;0;0;0;0;18;60
